,Output_GAP,Inflation_1
0,1.0703879391184787,1.0128
1,1.0944191493253654,1.0135
2,1.1050987797221976,1.0164
3,1.1130068585077761,1.0218
4,1.1124867118191608,1.0248
5,1.1010229590056484,1.025
6,1.103203072281589,1.0271
7,1.0951105283333156,1.0295
8,1.1055162447191615,1.0294
9,1.1042764333712762,1.0296
10,1.0929497046000398,1.03
11,1.094300311243797,1.0347
12,1.0734450987130786,1.0298
13,1.036503938514852,1.012
14,1.0341933913725756,1.0093
15,1.048856814516866,1.0176
16,1.0635313604043508,1.0242
17,1.0737405268832398,1.028
18,1.08704370363368,1.0339
19,1.0763362093351425,1.0376
20,1.0680219327132137,1.0399
21,1.0804505685134096,1.0384
22,1.063646878432983,1.0332
23,1.058226873360739,1.026
24,1.0347257098853309,1.0198
25,1.032066940084629,1.0202
26,1.0405136947225397,1.0173
27,1.0510895598440577,1.0188
28,1.0620185089595904,1.0233
29,1.070517266695605,1.0285
30,1.068995757725442,1.0268
31,1.070357372792345,1.029
32,1.0619842500826049,1.0293
33,1.0618263730438635,1.0298
34,1.0621963624593747,1.0299
35,1.0740553548576466,1.0348
36,1.0696381176889105,1.0338
37,1.0806648385072066,1.0343
38,1.0806201018809745,1.035
39,1.085507638341961,1.0345
40,1.0770401973926418,1.0385
41,1.0909352939654433,1.0405
42,1.0929730325619726,1.0405
43,1.1051906802286822,1.0402
44,1.1185304588963023,1.0432
45,1.1335178838624291,1.0466
46,1.1252988054770945,1.0517
47,1.1227194471242337,1.054
48,1.1199167688397784,1.054
49,1.1175484910673867,1.0453
50,1.1058222994067939,1.0398
51,1.1037261304665038,1.0399
52,1.0993422038713134,1.0451
53,1.1090343173924244,1.0505
54,1.1150924367718626,1.0607
55,1.111316873534043,1.0578
56,1.1034111946384229,1.0602
57,1.1089131372285723,1.0679
58,1.1011447282887976,1.089
59,1.0979480356190334,1.0915
60,1.0828158715498484,1.0897000000000001
61,1.0720145566879073,1.0776
62,1.0648900741355307,1.0761
63,1.0663224106399232,1.0629
64,1.0467448440616172,1.049
65,1.066593618162424,1.0371
66,1.0633204142259947,1.0491
67,1.0628138559211937,1.0555
68,1.056178445842948,1.0414
69,1.066658129081891,1.0383
70,1.0823150674819049,1.0446
71,1.084284915722046,1.0487
72,1.0941875688583644,1.0533
73,1.112663817810482,1.0709
74,1.1155431088566359,1.0849
75,1.100335405810049,1.1078
76,1.1011875569224696,1.0995
77,1.0822327100256626,1.0935
78,1.0754452674149535,1.1193
79,1.0562967547850501,1.1134
80,1.0435100697055808,1.0853
81,1.0225351733824195,1.0554
82,1.021740043703607,1.0555
83,1.0311435655646464,1.0624
84,1.0369676902949316,1.052
85,1.0522662106396956,1.0484
86,1.05198323259606,1.0548
87,1.0496587242771929,1.0525
88,1.0491212685963567,1.0465
89,1.0531672680709456,1.0469
90,1.0649217338489052,1.0539
91,1.0752289092900431,1.0614
92,1.0662451220180729,1.0655999999999999
93,1.060555662082388,1.0679
94,1.0921077915329411,1.076
95,1.093486984027031,1.0845
96,1.0984188948852083,1.1003
97,1.090450528233465,1.1009
98,1.0820960615215727,1.1029
99,1.0811570410953284,1.1143
100,1.0756055543726255,1.1378
101,1.0715846761517702,1.1719
102,1.0432144931650849,1.0947
103,1.0365916553041696,1.1087
104,1.0502429134903166,1.189
105,1.0644719659158204,1.147
106,1.0498503725051973,1.191
107,1.05528573056712,1.1587
108,1.036448206402105,1.1237
109,1.0129838398378932,1.1468
110,1.0101621137042966,1.1415
111,0.9988334760060031,1.1031
112,0.9916677093186468,1.0895
113,0.9970912209979969,1.0877
114,1.011761793533913,1.0898
115,1.023639806002093,1.0945
116,1.0362988731864002,1.0947
117,1.0448527241354222,1.0991
118,1.0539874235142683,1.1106
119,1.0551817799920922,1.113
120,1.0547862765001506,1.0838
121,1.0558430466428863,1.0858
122,1.0558069051227412,1.0753
123,1.0624749456060278,1.0792
124,1.0609972201496602,1.0827
125,1.0616978617154962,1.0748
126,1.057514942334323,1.0692
127,1.058829620664093,1.0589
128,1.0558558920937997,1.0691
129,1.0551728052876426,1.0613
130,1.0581032290151786,1.0673
131,1.0589435620647154,1.0722
132,1.0688068139193587,1.0677
133,1.066249074108791,1.0658
134,1.0722800964736996,1.0751
135,1.0706584516973154,1.0819
136,1.076848188081602,1.0876
137,1.0794345050793412,1.0985
138,1.0789674523645194,1.0953
139,1.0781182672377096,1.0902
140,1.0715654243846175,1.0845
141,1.0750135685733062,1.0828
142,1.07128548270422,1.0829
143,1.0650022657809544,1.082
144,1.048817181896881,1.0731
145,1.0376902248885846,1.0612
146,1.0396186296758596,1.059
147,1.038721924743566,1.0545
148,1.0361553342285728,1.0443
149,1.0422727923638055,1.0398
150,1.047171630113416,1.0376
151,1.0509495265736952,1.0322
152,1.0552522920905856,1.0292
153,1.0503406630277317,1.0307
154,1.0496928485354293,1.0304
155,1.0479258187140243,1.0309
156,1.0553523657552144,1.0296
157,1.058772757642845,1.0334
158,1.0662932827429492,1.0425
159,1.0656860724533408,1.0473
160,1.071041236440624,1.0545
161,1.0680626298582727,1.0598
162,1.0644841298508585,1.06
163,1.0667327852825648,1.058
164,1.0669220158733943,1.056
165,1.0675694413293932,1.0531
166,1.0772700897400063,1.0527
167,1.0781466958911126,1.053
168,1.0800416688673555,1.0529
169,1.0774169736701544,1.0539
170,1.0855635585542074,1.0556
171,1.0891169820914446,1.0554
172,1.0883205228667057,1.055
173,1.0890490640000063,1.0549
174,1.088700917944121,1.0556
175,1.091651952482045,1.0551
176,1.0978493737304527,1.0468
177,1.0959846554526584,1.0481
178,1.0921477457382456,1.0476
179,1.093148917630296,1.0522
180,1.0975240379842832,1.053
181,1.088601272334414,1.0585
182,1.096675067381047,1.0653
183,1.0873945570352033,1.0652
184,1.0844989394503792,1.064
185,1.0723469583453638,1.0531
186,1.0708913389494679,1.0397
187,1.0588606050765428,1.0307
188,1.0542681296034317,1.0182
189,1.0556860137224957,1.0173
190,1.0547283196806965,1.0175
191,1.051640673022829,1.0175
192,1.0458152552241078,1.0124
193,1.0445492911923844,1.0125
194,1.047413568907123,1.0122
